Year,City,AnimalNumber,AdoptionNumber,AdoptionRate,EuthanasiaNumber,EuthanasiaRate,DeathNumber,DeathRate
111,宜蘭縣,2348.00,714.00,0.30,10.00,0.00,89.00,0.04
111,花蓮縣,754.00,160.00,0.21,18.00,0.02,33.00,0.04
111,金門縣,237.00,196.00,0.83,0.00,0.00,13.00,0.05
111,南投縣,991.00,360.00,0.36,6.00,0.01,55.00,0.06
111,屏東縣,110.00,498.00,4.53,14.00,0.13,37.00,0.34
111,苗栗縣,2464.00,585.00,0.24,9.00,0.00,286.00,0.12
111,桃園市,3682.00,2231.00,0.61,0.00,0.00,137.00,0.04
111,高雄市,3594.00,2188.00,0.61,0.00,0.00,90.00,0.03
111,基隆市,173.00,142.00,0.82,1.00,0.01,28.00,0.16
111,連江縣,4.00,3.00,0.75,0.00,0.00,0.00,0.00
111,雲林縣,1212.00,500.00,0.41,0.00,0.00,263.00,0.22
111,新北市,4466.00,4175.00,0.93,0.00,0.00,121.00,0.03
111,新竹市,510.00,374.00,0.73,11.00,0.02,22.00,0.04
111,新竹縣,506.00,442.00,0.87,0.00,0.00,40.00,0.08
111,嘉義市,138.00,166.00,1.20,22.00,0.16,46.00,0.33
111,嘉義縣,413.00,367.00,0.89,0.00,0.00,13.00,0.03
111,彰化縣,1874.00,1123.00,0.60,0.00,0.00,59.00,0.03
111,臺中市,2717.00,2311.00,0.85,0.00,0.00,217.00,0.08
111,臺北市,2120.00,1813.00,0.86,0.00,0.00,162.00,0.08
111,臺東縣,364.00,494.00,1.36,11.00,0.03,42.00,0.12
111,臺南市,3321.00,2399.00,0.72,0.00,0.00,490.00,0.15
111,澎湖縣,602.00,119.00,0.20,34.00,0.06,162.00,0.27
111,全國,32600.00,21360.00,0.66,136.00,0.00,2405.00,0.07
110,宜蘭縣,1653.00,665.00,0.40,3.00,0.00,55.00,0.03
110,花蓮縣,350.00,97.00,0.28,13.00,0.04,5.00,0.01
110,金門縣,455.00,227.00,0.50,0.00,0.00,36.00,0.08
110,南投縣,639.00,477.00,0.75,4.00,0.01,79.00,0.12
110,屏東縣,620.00,641.00,1.03,4.00,0.01,33.00,0.05
110,苗栗縣,2391.00,703.00,0.29,1.00,0.00,110.00,0.05
110,桃園市,4168.00,2965.00,0.71,0.00,0.00,202.00,0.05
110,高雄市,3590.00,2060.00,0.57,0.00,0.00,154.00,0.04
110,基隆市,268.00,257.00,0.96,0.00,0.00,29.00,0.11
110,連江縣,6.00,1.00,0.17,0.00,0.00,0.00,0.00
110,雲林縣,158.00,41.00,0.26,0.00,0.00,78.00,0.49
110,新北市,5066.00,4666.00,0.92,0.00,0.00,217.00,0.04
110,新竹市,433.00,344.00,0.79,16.00,0.04,21.00,0.05
110,新竹縣,424.00,355.00,0.84,0.00,0.00,26.00,0.06
110,嘉義市,100.00,208.00,2.08,9.00,0.09,34.00,0.34
110,嘉義縣,550.00,312.00,0.57,0.00,0.00,74.00,0.13
110,彰化縣,1636.00,1124.00,0.69,0.00,0.00,28.00,0.02
110,臺中市,2709.00,1939.00,0.72,18.00,0.01,236.00,0.09
110,臺北市,2085.00,1944.00,0.93,0.00,0.00,182.00,0.09
110,臺東縣,586.00,521.00,0.89,1.00,0.00,17.00,0.03
110,臺南市,3771.00,2618.00,0.69,0.00,0.00,418.00,0.11
110,澎湖縣,730.00,121.00,0.17,13.00,0.02,93.00,0.13
110,全國,32388.00,22286.00,0.69,82.00,0.00,2127.00,0.07
109,宜蘭縣,1782.00,896.00,0.50,0.00,0.00,54.00,0.03
109,花蓮縣,591.00,199.00,0.34,11.00,0.02,11.00,0.02
109,金門縣,1058.00,260.00,0.25,0.00,0.00,33.00,0.03
109,南投縣,835.00,322.00,0.39,11.00,0.01,29.00,0.03
109,屏東縣,951.00,436.00,0.46,4.00,0.00,15.00,0.02
109,苗栗縣,2063.00,631.00,0.31,7.00,0.00,260.00,0.13
109,桃園市,5572.00,2605.00,0.47,2.00,0.00,201.00,0.04
109,高雄市,4706.00,3671.00,0.78,0.00,0.00,243.00,0.05
109,基隆市,370.00,299.00,0.81,0.00,0.00,46.00,0.12
109,連江縣,14.00,16.00,1.14,0.00,0.00,0.00,0.00
109,雲林縣,175.00,86.00,0.49,0.00,0.00,91.00,0.52
109,新北市,5219.00,5043.00,0.97,0.00,0.00,168.00,0.03
109,新竹市,741.00,362.00,0.49,15.00,0.02,64.00,0.09
109,新竹縣,645.00,459.00,0.71,0.00,0.00,60.00,0.09
109,嘉義市,331.00,249.00,0.75,11.00,0.03,18.00,0.05
109,嘉義縣,1595.00,263.00,0.16,0.00,0.00,40.00,0.03
109,彰化縣,1821.00,1456.00,0.80,0.00,0.00,77.00,0.04
109,臺中市,7610.00,3417.00,0.45,25.00,0.00,351.00,0.05
109,臺北市,2536.00,2212.00,0.87,2.00,0.00,209.00,0.08
109,臺東縣,554.00,535.00,0.97,2.00,0.00,9.00,0.02
109,臺南市,7086.00,3111.00,0.44,0.00,0.00,367.00,0.05
109,澎湖縣,575.00,223.00,0.39,1.00,0.00,190.00,0.33
109,全國,46830.00,26751.00,0.57,91.00,0.00,2536.00,0.05
108,宜蘭縣,1534.00,936.00,0.61,14.00,0.01,182.00,0.12
108,花蓮縣,507.00,259.00,0.51,20.00,0.04,21.00,0.04
108,金門縣,818.00,266.00,0.33,5.00,0.01,19.00,0.02
108,南投縣,463.00,296.00,0.64,7.00,0.02,27.00,0.06
108,屏東縣,883.00,453.00,0.51,6.00,0.01,6.00,0.01
108,苗栗縣,1330.00,352.00,0.26,5.00,0.00,191.00,0.14
108,桃園市,5085.00,2247.00,0.44,22.00,0.00,202.00,0.04
108,高雄市,5329.00,4923.00,0.92,0.00,0.00,264.00,0.05
108,基隆市,412.00,368.00,0.89,0.00,0.00,47.00,0.11
108,連江縣,22.00,9.00,0.41,0.00,0.00,1.00,0.05
108,雲林縣,819.00,728.00,0.89,0.00,0.00,146.00,0.18
108,新北市,6679.00,5949.00,0.89,0.00,0.00,408.00,0.06
108,新竹市,638.00,240.00,0.38,11.00,0.02,76.00,0.12
108,新竹縣,510.00,324.00,0.64,0.00,0.00,43.00,0.08
108,嘉義市,313.00,266.00,0.85,8.00,0.03,6.00,0.02
108,嘉義縣,227.00,107.00,0.47,3.00,0.01,46.00,0.20
108,彰化縣,2100.00,1047.00,0.50,0.00,0.00,395.00,0.19
108,臺中市,8361.00,4686.00,0.56,48.00,0.01,413.00,0.05
108,臺北市,2741.00,2194.00,0.80,3.00,0.00,209.00,0.08
108,臺東縣,529.00,519.00,0.98,1.00,0.00,4.00,0.01
108,臺南市,8277.00,4075.00,0.49,0.00,0.00,398.00,0.05
108,澎湖縣,587.00,257.00,0.44,0.00,0.00,203.00,0.35
108,全國,48164.00,30501.00,0.63,153.00,0.00,3307.00,0.07
107,宜蘭縣,1208.00,597.00,0.49,24.00,0.02,132.00,0.11
107,花蓮縣,442.00,293.00,0.66,11.00,0.02,24.00,0.05
107,金門縣,777.00,268.00,0.34,1.00,0.00,30.00,0.04
107,南投縣,320.00,299.00,0.93,1.00,0.00,28.00,0.09
107,屏東縣,359.00,247.00,0.69,1.00,0.00,1.00,0.00
107,苗栗縣,1005.00,316.00,0.31,23.00,0.02,171.00,0.17
107,桃園市,3725.00,2234.00,0.60,26.00,0.01,120.00,0.03
107,高雄市,4085.00,3394.00,0.83,0.00,0.00,240.00,0.06
107,基隆市,517.00,453.00,0.88,0.00,0.00,57.00,0.11
107,連江縣,27.00,24.00,0.89,0.00,0.00,3.00,0.11
107,雲林縣,759.00,486.00,0.64,0.00,0.00,76.00,0.10
107,新北市,6223.00,5870.00,0.94,0.00,0.00,328.00,0.05
107,新竹市,281.00,214.00,0.76,6.00,0.02,42.00,0.15
107,新竹縣,368.00,325.00,0.88,0.00,0.00,32.00,0.09
107,嘉義市,294.00,280.00,0.95,5.00,0.02,11.00,0.04
